company_name_cn,company_name_en,hall,booth,booth_display,invite_company_id,invite_company_info_id,exb_contract_id,company_logo_url,source,year
富兰克科技（深圳）股份有限公司,"Francool Technology (ShenZhen) Co.,Ltd.",,,,62271cd1-81d2-48f7-9c6d-50413570371e,90a3c1e2-d932-4e3f-8bb4-f4011ef79dae,2c40acf1-28d8-4238-b58b-3ef07ec174d4,//download.snec.org.cn/SNEC/article/2024/05/09//未标题-1-91056290.png,pv.snec.org.cn/api/getInviteCompanyList,2026
厦门福纳新材料科技有限公司,Xiamen Funano New Material Co，Ltd,,,,3d11b19a-8214-4928-96ab-ba7d2e48d2e1,df1c6772-7a19-4a08-a451-510a8e331062,e8ccf53b-e964-420f-bb24-f559853a2ef4,//download.snec.org.cn/SNEC/article/2024/05/20//Funano Logo -89130835.png,pv.snec.org.cn/api/getInviteCompanyList,2026
深圳爱旭数字能源技术有限公司,"Shenzhen Aiko Digital Energy Technology Co., Ltd",,,,8523ff0f-17f5-424f-9518-8cd981485fbd,03c8021b-3808-4176-a927-5e9186cfed8f,53a86083-4d3a-4bf4-a737-5d0718fb3929,https://download.snec.org.cn/SNEC/article/2023/05/08//0bdee681-67b5-49c0-99e0-a95a3c7cf5a1-99401370.png,pv.snec.org.cn/api/getInviteCompanyList,2026
浙江凌志新材料有限公司,ZHEJIANG LINIZ ADVANCED MATERIALS CO..LTD.,,,,519112ff-1e90-45b8-bc74-58ecdc1a63d6,5d7cdbab-bc85-4333-a1b4-e443e3015067,,//download.snec.org.cn/SNEC/article/2025/05/23//凌志新材logo(1)-91996019.png,pv.snec.org.cn/api/getInviteCompanyList,2026
杭州久铮技术有限公司,"HangZhou JiuZheng Technology Co., LTD",,,,ee5b6ec9-991c-4ea1-bc2f-4f046ad996e1,493f7c5c-220c-4f72-85bf-cf457f22020f,3aaed9cd-8f1c-4dd9-b0a2-a7ab79e48fe4,//download.snec.org.cn/SNEC/article/2024/05/13//微信图片_20240327111419-72582166.png,pv.snec.org.cn/api/getInviteCompanyList,2026
深圳市超储新能源有限公司,"Shenzhen Suwatt New Energy Co.,Ltd",,,,a077c650-b187-4ca5-88b9-4b8a7eb0a75b,662b7f75-84fb-4574-a980-ef14fa72e139,,//download.snec.org.cn/SNEC/article/2025/03/03//SUWATT LOGO-50307330.png,pv.snec.org.cn/api/getInviteCompanyList,2026
浙江御辰东智能科技有限公司,Machine X Tech Corporation Limited,,,,f3577ea1-4b25-48d6-9bad-028dd2f73b56,15723bea-4422-4fdc-9347-1fa2f9b54a41,,//download.snec.org.cn/SNEC/article/2025/05/23//中文透明色-12409615.png,pv.snec.org.cn/api/getInviteCompanyList,2026
莱技精机（东莞）有限公司,"LaiJi (Jiangsu) Intelligent Manufacturing Co., Ltd.",,,,b8f361ca-994a-4fed-a7de-926608a619da,49269369-2e0b-4f07-ad70-af63f55d0b90,,//download.snec.org.cn/SNEC/article/2025/05/24//微信图片_20250524180413-69706075.png,pv.snec.org.cn/api/getInviteCompanyList,2026
挪亚检测认证集团,NOA Testing & Certification Group,,,,37cfeeab-53e2-48e0-96b8-7d15007b1acb,c816dfce-5983-4d70-97d5-f44c6328c27a,ea69e0cd-775e-4521-9ef8-323cf904a72f,//download.snec.org.cn/SNEC/article/2024/05/08//挪亚检测认证集团logo-58973237.png,pv.snec.org.cn/api/getInviteCompanyList,2026
成都沃特塞恩电子技术有限公司,chengdu wattsine elect,,,,1cc0e185-26de-42c3-96d4-449c701726ba,f87105d8-09c2-4efa-a20a-d3c0abc92432,dc14dc58-64ef-48ab-bbbf-6f75a1fdbb30,//download.snec.org.cn/SNEC/article/2024/04/07//商标-53876777.png,pv.snec.org.cn/api/getInviteCompanyList,2026
